,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
2015-05-16,1083.05,1225.5,42672.93954056617,87.5059,0.75,2.49,0.12,2.2,1.7400000000000002,,12002.245161290322,237.001,241.688,0.7149667817557042,2122.72998046875,21129.125,236.1529998779297
2015-05-17,1083.05,1225.5,42672.93954056617,87.5059,0.75,2.49,0.12,2.2,1.7400000000000002,,12003.554838709679,237.001,241.688,0.7149667817557042,2122.72998046875,21129.125,236.802001953125
2015-05-18,1088.19,1227.800048828125,42955.928919069476,88.1553,0.75,2.49,0.12,2.2,1.7400000000000002,,12004.864516129033,237.001,241.688,0.7149667817557042,2129.199951171875,21177.8046875,233.1280059814453
2015-05-19,1093.94,1206.9000244140625,42447.8342536216,89.1839,0.75,2.49,0.12,2.2,1.7400000000000002,,12006.174193548388,237.001,241.688,0.7149667817557042,2127.830078125,21275.173828125,231.94700622558594
2015-05-20,1097.62,1208.9000244140625,42661.206770857396,89.5066,0.75,2.49,0.12,2.2,1.7400000000000002,,12007.483870967742,237.001,241.688,0.7149667817557042,2125.85009765625,21469.912109375,234.01800537109375
2015-05-21,1092.41,1204.4000244140625,42300.66168341717,89.2143,0.75,2.49,0.12,2.2,1.7400000000000002,,12008.793548387097,237.001,241.688,0.7149667817557042,2130.820068359375,21226.48828125,235.343994140625
2015-05-22,1093.46,1204.300048828125,42337.80543641718,89.8915,0.75,2.49,0.12,2.2,1.7400000000000002,,12010.103225806452,237.001,241.688,0.7149667817557042,2126.06005859375,21502.3671875,240.34800720214844
2015-05-23,1093.46,1204.300048828125,42337.80543641718,89.8915,0.75,2.49,0.12,2.2,1.7400000000000002,,12011.412903225808,237.001,241.688,0.7149667817557042,2126.06005859375,21502.3671875,238.8719940185547
2015-05-24,1093.46,1204.300048828125,42337.80543641718,89.8915,0.75,2.49,0.12,2.2,1.7400000000000002,,12012.722580645162,237.001,241.688,0.7149667817557042,2126.06005859375,21502.3671875,240.9530029296875
2015-05-25,1093.46,1204.300048828125,42337.80543641718,89.8915,0.75,2.49,0.12,2.2,1.7400000000000002,,12014.032258064517,237.001,241.688,0.7149667817557042,2126.06005859375,21502.3671875,237.11000061035156
2015-05-26,1106.06,1187.199951171875,42217.576092502895,90.9928,0.75,2.49,0.12,2.2,1.7400000000000002,,12015.341935483872,237.001,241.688,0.7149667817557042,2104.199951171875,21461.794921875,237.11599731445312
2015-05-27,1107.84,1185.9000244140625,42239.216906356996,91.1925,0.75,2.49,0.12,2.2,1.7400000000000002,,12016.651612903226,237.001,241.688,0.7149667817557042,2123.47998046875,21031.748046875,237.2830047607422
2015-05-28,1109.86,1188.0999755859375,42394.734962425726,91.1521,0.75,2.49,0.12,2.2,1.7400000000000002,,12017.96129032258,237.001,241.688,0.7149667817557042,2120.7900390625,21027.6953125,237.4080047607422
2015-05-29,1111.99,1189.4000244140625,42522.57569560318,90.8242,0.75,2.49,0.12,2.2,1.7400000000000002,,12019.270967741937,237.001,241.688,0.7149667817557042,2107.389892578125,21137.232421875,237.0959930419922
2015-05-30,1111.99,1189.4000244140625,42522.57569560318,90.8242,0.75,2.49,0.12,2.2,1.7400000000000002,,12020.580645161292,237.001,241.688,0.7149667817557042,2107.389892578125,21137.232421875,233.34500122070312
2015-05-31,1111.99,1189.4000244140625,42522.57569560318,90.8242,0.75,2.49,0.12,2.2,1.7400000000000002,,12021.890322580646,237.001,241.688,0.7149667817557042,2107.389892578125,21137.232421875,230.19000244140625
2015-06-01,1115.61,1188.300048828125,42621.551191124614,91.4334,0.75,2.468,0.13,2.36,1.7356000000000003,,12023.2,237.657,242.064,0.5704281902449475,2111.72998046875,20946.552734375,222.92599487304688
2015-06-02,1109.34,1194.0999755859375,42588.8683561819,90.2311,0.75,2.468,0.13,2.36,1.7312,,12024.66,237.657,242.064,0.5704281902449475,2109.60009765625,20747.759765625,225.80299377441406
2015-06-03,1104.33,1184.699951171875,42062.7806220405,89.6853,0.75,2.468,0.13,2.36,1.7268000000000001,,12026.12,237.657,242.064,0.5704281902449475,2114.070068359375,20557.080078125,225.87399291992188
2015-06-04,1112.56,1174.9000244140625,42025.71322076645,89.8962,0.75,2.468,0.13,2.36,1.7224,,12027.58,237.657,242.064,0.5704281902449475,2095.840087890625,20634.16015625,224.32400512695312
2015-06-05,1121.18,1167.800048828125,42095.393082615046,90.6846,0.75,2.468,0.13,2.36,1.718,,12029.04,237.657,242.064,0.5704281902449475,2092.830078125,20609.81640625,224.95199584960938
2015-06-06,1121.18,1167.800048828125,42095.393082615046,90.6846,0.75,2.468,0.13,2.36,1.718,,12030.5,237.657,242.064,0.5704281902449475,2092.830078125,20609.81640625,225.61900329589844
2015-06-07,1121.18,1167.800048828125,42095.393082615046,90.6846,0.75,2.468,0.13,2.36,1.718,,12031.960000000001,237.657,242.064,0.5704281902449475,2092.830078125,20609.81640625,222.88099670410156
2015-06-08,1121.95,1173.199951171875,42319.0858011891,90.0514,0.75,2.468,0.13,2.36,1.718,,12033.42,237.657,242.064,0.5704281902449475,2079.280029296875,20569.24609375,228.48899841308594
2015-06-09,1119.38,1177.300048828125,42369.705295456355,89.4579,0.75,2.468,0.13,2.36,1.718,,12034.880000000001,237.657,242.064,0.5704281902449475,2080.14990234375,20536.791015625,229.04800415039062
2015-06-10,1110.32,1186.0999755859375,42340.91098727083,89.0339,0.75,2.468,0.13,2.36,1.718,,12036.34,237.657,242.064,0.5704281902449475,2105.199951171875,20415.07421875,228.80299377441406
2015-06-11,1113.24,1179.9000244140625,42230.35681446496,89.5025,0.75,2.468,0.13,2.36,1.718,,12037.800000000001,237.657,242.064,0.5704281902449475,2108.860107421875,20492.162109375,229.7050018310547
2015-06-12,1111.63,1178.800048828125,42129.969240722385,89.2021,0.75,2.468,0.13,2.36,1.718,,12039.26,237.657,242.064,0.5704281902449475,2094.110107421875,20317.7109375,229.98199462890625
2015-06-13,1111.63,1178.800048828125,42129.969240722385,89.2021,0.75,2.468,0.13,2.36,1.718,,12040.720000000001,237.657,242.064,0.5704281902449475,2094.110107421875,20317.7109375,232.40199279785156
2015-06-14,1111.63,1178.800048828125,42129.969240722385,89.2021,0.75,2.468,0.13,2.36,1.718,,12042.18,237.657,242.064,0.5704281902449475,2094.110107421875,20317.7109375,233.54299926757812
2015-06-15,1114.94,1185.300048828125,42488.41565870174,89.3301,0.75,2.468,0.13,2.36,1.718,,12043.640000000001,237.657,242.064,0.5704281902449475,2084.429931640625,20248.744140625,236.822998046875
2015-06-16,1118.08,1180.5,42435.52783448808,89.3969,0.75,2.468,0.13,2.36,1.718,,12045.1,237.657,242.064,0.5704281902449475,2096.2900390625,20082.39453125,250.89500427246094
2015-06-17,1122.83,1176.4000244140625,42467.80071094383,89.3945,0.75,2.468,0.13,2.36,1.718,,12046.56,237.657,242.064,0.5704281902449475,2100.43994140625,20098.630859375,249.28399658203125
2015-06-18,1101.55,1201.5,42551.87760219911,88.3599,0.75,2.468,0.13,2.36,1.718,,12048.02,237.657,242.064,0.5704281902449475,2121.239990234375,20159.482421875,249.0070037841797
2015-06-19,1102.64,1201.5,42593.98331377498,88.7238,0.75,2.468,0.13,2.36,1.718,,12049.48,237.657,242.064,0.5704281902449475,2109.989990234375,20260.912109375,244.6060028076172
2015-06-20,1102.64,1201.5,42593.98331377498,88.7238,0.75,2.468,0.13,2.36,1.718,,12050.94,237.657,242.064,0.5704281902449475,2109.989990234375,20260.912109375,245.21200561523438
2015-06-21,1102.64,1201.5,42593.98331377498,88.7238,0.75,2.468,0.13,2.36,1.718,,12052.4,237.657,242.064,0.5704281902449475,2109.989990234375,20260.912109375,243.94400024414062
2015-06-22,1098.85,1183.699951171875,41818.72430257736,88.6982,0.75,2.468,0.13,2.36,1.718,,12053.86,237.657,242.064,0.5704281902449475,2122.85009765625,20329.880859375,246.99000549316406
2015-06-23,1104.54,1176.199951171875,41768.92935095351,89.5408,0.75,2.468,0.13,2.36,1.718,,12055.32,237.657,242.064,0.5704281902449475,2124.199951171875,20601.705078125,244.29600524902344
